Game ,0045000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,0.4012, mean_rew ,-1e+02,   0:00:16.620745,playing t=11.25, lr=0.01, batch=44934
Game ,0165000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.077, mean_rew ,-1e+02,   0:00:59.311922,playing t=18.52, lr=0.01, batch=119887
Game ,0325000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.227, mean_rew ,-1e+02,   0:02:00.880947,playing t=25.35, lr=0.01, batch=159903
Game ,0525000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.533, mean_rew ,-1e+02,   0:03:19.716333,playing t=32.78, lr=0.01, batch=199909
Game ,0765000, mean_rew of 1 finished g. ,20.0, of random ,-6.6667, corr_moves[max: 9] ,2.443, mean_rew ,-1e+02,   0:05:03.701559,playing t=43.76, lr=0.01, batch=239905
Game ,1045000, mean_rew of 318 finished g. ,16.604, of random ,-5.6604, corr_moves[max: 9] ,4.59, mean_rew ,-92.6,   0:07:24.100088,playing t=59.52, lr=0.01, batch=279882
Game ,1365000, mean_rew of 2060 finished g. ,12.184, of random ,-4.0049, corr_moves[max: 9] ,6.896, mean_rew ,-53.8,   0:10:37.030632,playing t=82.7, lr=0.01, batch=319766
Game ,1725000, mean_rew of 4036 finished g. ,13.776, of random ,-4.6027, corr_moves[max: 9] ,8.214, mean_rew ,-8.16,   0:14:32.942717,playing t=101.09, lr=0.01, batch=359771
Game ,2125000, mean_rew of 4799 finished g. ,17.217, of random ,-5.6738, corr_moves[max: 9] ,8.801, mean_rew ,12.5,   0:19:04.112699,playing t=116.62, lr=0.01, batch=399679
Game ,2565000, mean_rew of 4913 finished g. ,20.098, of random ,-6.6483, corr_moves[max: 9] ,8.907, mean_rew ,18.0,   0:24:07.352302,playing t=131.78, lr=0.01, batch=439638
Game ,3045000, mean_rew of 4952 finished g. ,21.784, of random ,-7.2048, corr_moves[max: 9] ,8.948, mean_rew ,20.6,   0:29:39.581260,playing t=143.63, lr=0.01, batch=479710
Game ,3565000, mean_rew of 4956 finished g. ,22.501, of random ,-7.4849, corr_moves[max: 9] ,8.957, mean_rew ,21.4,   0:35:27.131381,playing t=150.48, lr=0.01, batch=519686
Game ,4125000, mean_rew of 4979 finished g. ,22.868, of random ,-7.6354, corr_moves[max: 9] ,8.974, mean_rew ,22.4,   0:41:31.482165,playing t=157.96, lr=0.01, batch=559593
Game ,4725000, mean_rew of 4981 finished g. ,22.664, of random ,-7.5734, corr_moves[max: 9] ,8.978, mean_rew ,22.2,   0:47:53.828440,playing t=167.25, lr=0.01, batch=599704
Game ,5365000, mean_rew of 4972 finished g. ,22.912, of random ,-7.5972, corr_moves[max: 9] ,8.974, mean_rew ,22.2,   0:54:35.641313,playing t=175.62, lr=0.01, batch=639676
Game ,6045000, mean_rew of 4978 finished g. ,23.014, of random ,-7.6245, corr_moves[max: 9] ,8.979, mean_rew ,22.5,   1:01:38.323798,playing t=185.04, lr=0.01, batch=679766
Game ,6765000, mean_rew of 4981 finished g. ,22.288, of random ,-7.4165, corr_moves[max: 9] ,8.981, mean_rew ,21.8,   1:08:59.904718,playing t=194.55, lr=0.01, batch=719599
Game ,7525000, mean_rew of 4981 finished g. ,21.928, of random ,-7.3268, corr_moves[max: 9] ,8.98, mean_rew ,21.5,   1:16:46.098064,playing t=206.37, lr=0.01, batch=759689
Game ,8325000, mean_rew of 4983 finished g. ,22.373, of random ,-7.4169, corr_moves[max: 9] ,8.982, mean_rew ,22.0,   1:24:58.457366,playing t=218.7, lr=0.01, batch=799646
Game ,9165000, mean_rew of 4982 finished g. ,21.932, of random ,-7.2979, corr_moves[max: 9] ,8.982, mean_rew ,21.5,   1:33:36.268638,playing t=231.48, lr=0.01, batch=839708
Game ,10045000, mean_rew of 4981 finished g. ,22.711, of random ,-7.4828, corr_moves[max: 9] ,8.976, mean_rew ,22.2,   1:42:42.391775,playing t=243.52, lr=0.01, batch=879704
Game ,10965000, mean_rew of 4987 finished g. ,22.431, of random ,-7.5172, corr_moves[max: 9] ,8.986, mean_rew ,22.1,   1:52:13.042461,playing t=255.42, lr=0.01, batch=919584
Game ,11925000, mean_rew of 4985 finished g. ,22.284, of random ,-7.4246, corr_moves[max: 9] ,8.985, mean_rew ,21.9,   2:02:12.271014,playing t=270.61, lr=0.01, batch=959676
Game ,12925000, mean_rew of 4974 finished g. ,22.557, of random ,-7.4132, corr_moves[max: 9] ,8.972, mean_rew ,21.9,   2:12:37.626528,playing t=281.84, lr=0.01, batch=999611
Game ,13965000, mean_rew of 4988 finished g. ,21.983, of random ,-7.3055, corr_moves[max: 9] ,8.989, mean_rew ,21.7,   2:23:25.734212,playing t=293.22, lr=0.01, batch=1039676
Game ,15045000, mean_rew of 4990 finished g. ,22.715, of random ,-7.5511, corr_moves[max: 9] ,8.987, mean_rew ,22.5,   2:34:45.459504,playing t=307.46, lr=0.01, batch=1079623
Game ,16165000, mean_rew of 4990 finished g. ,22.339, of random ,-7.4122, corr_moves[max: 9] ,8.989, mean_rew ,22.1,   2:46:33.578597,playing t=321.93, lr=0.01, batch=1119709
Game ,17325000, mean_rew of 4984 finished g. ,23.297, of random ,-7.7461, corr_moves[max: 9] ,8.983, mean_rew ,22.9,   2:58:48.607373,playing t=334.45, lr=0.01, batch=1159635
Game ,18525000, mean_rew of 4977 finished g. ,23.057, of random ,-7.6609, corr_moves[max: 9] ,8.983, mean_rew ,22.5,   3:11:33.850004,playing t=348.1, lr=0.01, batch=1199699
