Game ,0030000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,0.3096, mean_rew ,-1e+02,   0:01:02.645053,playing t=42.32, lr=0.01, batch=29930
Game ,0090300, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.123, mean_rew ,-1e+02,   0:03:16.859169,playing t=47.68, lr=0.01, batch=60187
Game ,0151000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.341, mean_rew ,-1e+02,   0:05:45.887274,playing t=47.8, lr=0.01, batch=60604
Game ,0212100, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.874, mean_rew ,-1e+02,   0:08:31.161221,playing t=51.53, lr=0.01, batch=61014
Game ,0273600, mean_rew of 5 finished g. ,3.0, of random ,-0.33333, corr_moves[max: 9] ,2.845, mean_rew ,-99.9,   0:11:47.008910,playing t=58.72, lr=0.01, batch=61411
Game ,0335500, mean_rew of 105 finished g. ,6.8095, of random ,1.5714, corr_moves[max: 9] ,4.349, mean_rew ,-97.8,   0:15:56.636608,playing t=75.75, lr=0.01, batch=61812
Game ,0397800, mean_rew of 569 finished g. ,4.1511, of random ,1.2056, corr_moves[max: 9] ,5.778, mean_rew ,-88.1,   0:20:42.874350,playing t=79.12, lr=0.01, batch=62172
Game ,0460500, mean_rew of 1559 finished g. ,3.2213, of random ,1.0836, corr_moves[max: 9] ,6.998, mean_rew ,-67.8,   0:26:04.563141,playing t=87.28, lr=0.01, batch=62513
Game ,0523600, mean_rew of 2802 finished g. ,3.7156, of random ,1.5535, corr_moves[max: 9] ,7.65, mean_rew ,-41.9,   0:31:35.245379,playing t=86.99, lr=0.01, batch=62861
Game ,0587100, mean_rew of 3779 finished g. ,2.4454, of random ,1.839, corr_moves[max: 9] ,8.165, mean_rew ,-22.6,   0:37:16.793577,playing t=90.14, lr=0.01, batch=63186
Game ,0651000, mean_rew of 4295 finished g. ,2.668, of random ,1.5189, corr_moves[max: 9] ,8.384, mean_rew ,-11.8,   0:42:57.083249,playing t=88.78, lr=0.01, batch=63639
Game ,0715300, mean_rew of 4363 finished g. ,2.4094, of random ,1.7777, corr_moves[max: 9] ,8.465, mean_rew ,-10.6,   0:48:43.993731,playing t=91.33, lr=0.01, batch=63965
Game ,0780000, mean_rew of 4498 finished g. ,2.8459, of random ,1.8963, corr_moves[max: 9] ,8.541, mean_rew ,-7.48,   0:54:34.804641,playing t=93.03, lr=0.01, batch=64404
Game ,0845100, mean_rew of 4536 finished g. ,2.6201, of random ,1.8941, corr_moves[max: 9] ,8.573, mean_rew ,-6.9,   1:00:25.526509,playing t=92.07, lr=0.01, batch=64748
Game ,0910600, mean_rew of 4468 finished g. ,2.5096, of random ,1.8716, corr_moves[max: 9] ,8.526, mean_rew ,-8.4,   1:06:12.575514,playing t=92.78, lr=0.01, batch=65094
Game ,0976500, mean_rew of 4447 finished g. ,2.7877, of random ,1.8472, corr_moves[max: 9] ,8.507, mean_rew ,-8.58,   1:12:03.406704,playing t=92.13, lr=0.01, batch=65593
Game ,1042800, mean_rew of 4535 finished g. ,3.4035, of random ,1.8328, corr_moves[max: 9] ,8.574, mean_rew ,-6.21,   1:17:59.310495,playing t=92.85, lr=0.01, batch=65938
Game ,1109500, mean_rew of 4543 finished g. ,3.013, of random ,1.9343, corr_moves[max: 9] ,8.58, mean_rew ,-6.4,   1:23:52.922578,playing t=95.91, lr=0.01, batch=66436
Game ,1176600, mean_rew of 4593 finished g. ,2.9421, of random ,1.7554, corr_moves[max: 9] ,8.633, mean_rew ,-5.44,   1:29:47.284608,playing t=94.66, lr=0.01, batch=66735
Game ,1244100, mean_rew of 4557 finished g. ,3.0235, of random ,2.0592, corr_moves[max: 9] ,8.593, mean_rew ,-6.1,   1:35:43.519837,playing t=94.02, lr=0.01, batch=67215
Game ,1312000, mean_rew of 4500 finished g. ,2.9309, of random ,1.9719, corr_moves[max: 9] ,8.525, mean_rew ,-7.36,   1:41:37.433839,playing t=94.85, lr=0.01, batch=67611
Game ,1380300, mean_rew of 4540 finished g. ,3.0196, of random ,1.8466, corr_moves[max: 9] ,8.576, mean_rew ,-6.46,   1:47:37.497084,playing t=95.62, lr=0.01, batch=67943
Game ,1449000, mean_rew of 4421 finished g. ,3.2988, of random ,2.055, corr_moves[max: 9] ,8.499, mean_rew ,-8.66,   1:53:33.944453,playing t=95.78, lr=0.01, batch=68277
Game ,1518100, mean_rew of 4427 finished g. ,2.8981, of random ,2.2649, corr_moves[max: 9] ,8.48, mean_rew ,-8.89,   1:59:35.163294,playing t=98.02, lr=0.01, batch=68745
Game ,1587600, mean_rew of 4417 finished g. ,2.6878, of random ,1.9929, corr_moves[max: 9] ,8.515, mean_rew ,-9.29,   2:05:36.014738,playing t=97.29, lr=0.01, batch=69211
Game ,1657500, mean_rew of 4514 finished g. ,3.1491, of random ,2.325, corr_moves[max: 9] ,8.584, mean_rew ,-6.88,   2:11:38.918337,playing t=97.18, lr=0.01, batch=69574
Game ,1727800, mean_rew of 4511 finished g. ,3.0284, of random ,2.0172, corr_moves[max: 9] ,8.545, mean_rew ,-7.05,   2:17:43.349305,playing t=98.47, lr=0.01, batch=69977
Game ,1798500, mean_rew of 4511 finished g. ,3.2543, of random ,2.1828, corr_moves[max: 9] ,8.591, mean_rew ,-6.84,   2:23:51.949386,playing t=98.65, lr=0.01, batch=70348
Game ,1869600, mean_rew of 4501 finished g. ,3.2635, of random ,2.19, corr_moves[max: 9] ,8.534, mean_rew ,-7.04,   2:29:54.074725,playing t=98.9, lr=0.01, batch=70733
Game ,1941100, mean_rew of 4594 finished g. ,3.2889, of random ,2.0716, corr_moves[max: 9] ,8.605, mean_rew ,-5.1,   2:35:56.407277,playing t=96.07, lr=0.01, batch=71219
Game ,2013000, mean_rew of 4366 finished g. ,3.4246, of random ,1.9139, corr_moves[max: 9] ,8.458, mean_rew ,-9.69,   2:41:58.271590,playing t=98.85, lr=0.01, batch=71460
Game ,2085300, mean_rew of 4488 finished g. ,2.5938, of random ,2.1137, corr_moves[max: 9] ,8.523, mean_rew ,-7.91,   2:48:04.383976,playing t=100.17, lr=0.01, batch=71909
Game ,2158000, mean_rew of 4542 finished g. ,2.6856, of random ,2.0668, corr_moves[max: 9] ,8.569, mean_rew ,-6.72,   2:54:10.895498,playing t=99.86, lr=0.01, batch=72329
Game ,2231100, mean_rew of 4576 finished g. ,3.1993, of random ,2.2232, corr_moves[max: 9] ,8.576, mean_rew ,-5.55,   3:00:19.230973,playing t=100.97, lr=0.01, batch=72772
Game ,2304600, mean_rew of 4564 finished g. ,3.2395, of random ,1.9548, corr_moves[max: 9] ,8.597, mean_rew ,-5.76,   3:06:31.230714,playing t=100.72, lr=0.01, batch=73198
Game ,2378500, mean_rew of 4537 finished g. ,2.8329, of random ,2.0533, corr_moves[max: 9] ,8.587, mean_rew ,-6.69,   3:12:43.576234,playing t=100.14, lr=0.01, batch=73589
Game ,2452800, mean_rew of 4562 finished g. ,3.1572, of random ,2.2188, corr_moves[max: 9] ,8.583, mean_rew ,-5.88,   3:18:53.395323,playing t=102.1, lr=0.01, batch=73925
Game ,2527500, mean_rew of 4555 finished g. ,3.3864, of random ,2.1262, corr_moves[max: 9] ,8.585, mean_rew ,-5.82,   3:25:11.203185,playing t=105.42, lr=0.01, batch=74360
Game ,2602600, mean_rew of 4551 finished g. ,3.6807, of random ,2.1482, corr_moves[max: 9] ,8.59, mean_rew ,-5.63,   3:31:28.697192,playing t=104.43, lr=0.01, batch=74754
Game ,2678100, mean_rew of 4603 finished g. ,3.133, of random ,2.2289, corr_moves[max: 9] ,8.625, mean_rew ,-5.06,   3:37:52.272142,playing t=106.78, lr=0.01, batch=75177
