Game ,0030000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,0.3666, mean_rew ,-1e+02,   0:01:18.060618,playing t=51.01, lr=0.01, batch=29936
Game ,0090300, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.068, mean_rew ,-1e+02,   0:03:53.169748,playing t=54.98, lr=0.01, batch=60185
Game ,0151000, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.198, mean_rew ,-1e+02,   0:06:51.707922,playing t=59.46, lr=0.01, batch=60606
Game ,0212100, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.443, mean_rew ,-1e+02,   0:10:23.528043,playing t=78.5, lr=0.01, batch=61001
Game ,0273600, mean_rew of 0 finished g. ,0.0, of random ,0.0, corr_moves[max: 9] ,1.902, mean_rew ,-1e+02,   0:13:45.252417,playing t=69.83, lr=0.01, batch=61397
Game ,0335500, mean_rew of 13 finished g. ,23.462, of random ,-7.8205, corr_moves[max: 9] ,2.695, mean_rew ,-99.7,   0:19:41.661381,playing t=109.17, lr=0.01, batch=61801
Game ,0397800, mean_rew of 179 finished g. ,17.179, of random ,-5.7449, corr_moves[max: 9] ,4.059, mean_rew ,-95.8,   0:26:03.178340,playing t=115.09, lr=0.01, batch=62208
Game ,0460500, mean_rew of 1000 finished g. ,16.46, of random ,-5.4267, corr_moves[max: 9] ,5.614, mean_rew ,-76.7,   0:33:02.361646,playing t=110.68, lr=0.01, batch=62586
Game ,0523600, mean_rew of 2282 finished g. ,15.239, of random ,-5.0869, corr_moves[max: 9] ,6.979, mean_rew ,-47.4,   0:40:20.127655,playing t=125.1, lr=0.01, batch=62884
Game ,0587100, mean_rew of 3459 finished g. ,14.114, of random ,-4.6584, corr_moves[max: 9] ,7.774, mean_rew ,-21.1,   0:47:36.714424,playing t=112.23, lr=0.01, batch=63309
Game ,0651000, mean_rew of 4061 finished g. ,15.252, of random ,-5.0021, corr_moves[max: 9] ,8.215, mean_rew ,-6.39,   0:54:48.130823,playing t=121.01, lr=0.01, batch=63616
Game ,0715300, mean_rew of 4381 finished g. ,14.96, of random ,-4.9776, corr_moves[max: 9] ,8.438, mean_rew ,0.728,   1:01:54.691985,playing t=115.84, lr=0.01, batch=63967
Game ,0780000, mean_rew of 4480 finished g. ,16.102, of random ,-5.3352, corr_moves[max: 9] ,8.544, mean_rew ,4.03,   1:08:38.584941,playing t=105.81, lr=0.01, batch=64427
Game ,0845100, mean_rew of 4575 finished g. ,17.248, of random ,-5.7479, corr_moves[max: 9] ,8.592, mean_rew ,7.28,   1:15:48.275019,playing t=114.28, lr=0.01, batch=64747
Game ,0910600, mean_rew of 4532 finished g. ,16.526, of random ,-5.4777, corr_moves[max: 9] ,8.593, mean_rew ,5.62,   1:23:08.431304,playing t=118.81, lr=0.01, batch=65207
Game ,0976500, mean_rew of 4540 finished g. ,16.65, of random ,-5.5617, corr_moves[max: 9] ,8.576, mean_rew ,5.92,   1:30:08.241411,playing t=113.92, lr=0.01, batch=65583
Game ,1042800, mean_rew of 4618 finished g. ,16.751, of random ,-5.5525, corr_moves[max: 9] ,8.626, mean_rew ,7.83,   1:37:20.960221,playing t=114.79, lr=0.01, batch=65984
Game ,1109500, mean_rew of 4625 finished g. ,15.811, of random ,-5.209, corr_moves[max: 9] ,8.63, mean_rew ,7.12,   1:44:22.475625,playing t=108.41, lr=0.01, batch=66321
Game ,1176600, mean_rew of 4583 finished g. ,15.53, of random ,-5.1418, corr_moves[max: 9] ,8.593, mean_rew ,5.89,   1:51:32.808384,playing t=115.24, lr=0.01, batch=66806
Game ,1244100, mean_rew of 4599 finished g. ,15.111, of random ,-4.9783, corr_moves[max: 9] ,8.635, mean_rew ,5.88,   1:58:43.115447,playing t=118.42, lr=0.01, batch=67116
Game ,1312000, mean_rew of 4612 finished g. ,16.493, of random ,-5.4651, corr_moves[max: 9] ,8.622, mean_rew ,7.45,   2:05:59.055360,playing t=122.25, lr=0.01, batch=67523
Game ,1380300, mean_rew of 4622 finished g. ,15.851, of random ,-5.2333, corr_moves[max: 9] ,8.645, mean_rew ,7.09,   2:13:23.379012,playing t=126.45, lr=0.01, batch=67958
Game ,1449000, mean_rew of 4613 finished g. ,16.224, of random ,-5.327, corr_moves[max: 9] ,8.624, mean_rew ,7.23,   2:20:44.553088,playing t=120.12, lr=0.01, batch=68395
Game ,1518100, mean_rew of 4570 finished g. ,15.372, of random ,-5.0766, corr_moves[max: 9] ,8.597, mean_rew ,5.45,   2:28:06.657512,playing t=114.04, lr=0.01, batch=68730
Game ,1587600, mean_rew of 4576 finished g. ,15.258, of random ,-5.0561, corr_moves[max: 9] ,8.609, mean_rew ,5.48,   2:35:21.721358,playing t=122.51, lr=0.01, batch=69074
Game ,1657500, mean_rew of 4618 finished g. ,16.584, of random ,-5.4818, corr_moves[max: 9] ,8.649, mean_rew ,7.68,   2:42:26.516822,playing t=120.76, lr=0.01, batch=69551
Game ,1727800, mean_rew of 4608 finished g. ,16.955, of random ,-5.6149, corr_moves[max: 9] ,8.641, mean_rew ,7.79,   2:49:14.090573,playing t=109.26, lr=0.01, batch=69998
Game ,1798500, mean_rew of 4637 finished g. ,16.529, of random ,-5.4687, corr_moves[max: 9] ,8.65, mean_rew ,8.07,   2:56:51.907604,playing t=119.97, lr=0.01, batch=70323
Game ,1869600, mean_rew of 4588 finished g. ,16.337, of random ,-5.4247, corr_moves[max: 9] ,8.619, mean_rew ,6.75,   3:04:04.346709,playing t=119.39, lr=0.01, batch=70722
Game ,1941100, mean_rew of 4630 finished g. ,16.852, of random ,-5.5698, corr_moves[max: 9] ,8.64, mean_rew ,8.21,   3:11:17.260039,playing t=123.57, lr=0.01, batch=71129
Game ,2013000, mean_rew of 4650 finished g. ,16.228, of random ,-5.3441, corr_moves[max: 9] ,8.65, mean_rew ,8.09,   3:18:35.207359,playing t=124.88, lr=0.01, batch=71589
Game ,2085300, mean_rew of 4638 finished g. ,16.375, of random ,-5.423, corr_moves[max: 9] ,8.639, mean_rew ,7.95,   3:26:09.364198,playing t=134.93, lr=0.01, batch=71974
Game ,2158000, mean_rew of 4591 finished g. ,16.956, of random ,-5.6012, corr_moves[max: 9] ,8.597, mean_rew ,7.39,   3:33:47.506371,playing t=125.85, lr=0.01, batch=72369
Game ,2231100, mean_rew of 4564 finished g. ,15.389, of random ,-5.0727, corr_moves[max: 9] ,8.585, mean_rew ,5.33,   3:41:07.374399,playing t=122.46, lr=0.01, batch=72744
Game ,2304600, mean_rew of 4621 finished g. ,17.574, of random ,-5.8386, corr_moves[max: 9] ,8.644, mean_rew ,8.66,   3:48:31.975520,playing t=122.1, lr=0.01, batch=73178
Game ,2378500, mean_rew of 4646 finished g. ,17.872, of random ,-5.9417, corr_moves[max: 9] ,8.654, mean_rew ,9.53,   3:55:59.257067,playing t=126.32, lr=0.01, batch=73557
Game ,2452800, mean_rew of 4651 finished g. ,16.868, of random ,-5.6078, corr_moves[max: 9] ,8.653, mean_rew ,8.71,   4:03:22.334235,playing t=123.16, lr=0.01, batch=73998
Game ,2527500, mean_rew of 4606 finished g. ,17.344, of random ,-5.766, corr_moves[max: 9] ,8.616, mean_rew ,8.1,   4:10:59.462780,playing t=129.05, lr=0.01, batch=74417
Game ,2602600, mean_rew of 4601 finished g. ,18.015, of random ,-5.9882, corr_moves[max: 9] ,8.631, mean_rew ,8.6,   4:17:50.128099,playing t=114.33, lr=0.01, batch=74750
Game ,2678100, mean_rew of 4597 finished g. ,17.815, of random ,-5.9122, corr_moves[max: 9] ,8.622, mean_rew ,8.32,   4:25:16.416166,playing t=144.51, lr=0.01, batch=75259
Game ,2754000, mean_rew of 4649 finished g. ,15.92, of random ,-5.2578, corr_moves[max: 9] ,8.668, mean_rew ,7.78,   4:33:10.574184,playing t=139.9, lr=0.01, batch=75648
Game ,2830300, mean_rew of 4613 finished g. ,15.103, of random ,-5.009, corr_moves[max: 9] ,8.643, mean_rew ,6.19,   4:41:37.348867,playing t=144.93, lr=0.01, batch=75978
