Game ,0060000, mean_rew of 4577 finished g. ,9.1567, of random ,-3.0777, corr_moves[max: 9] ,8.567, mean_rew ,-76.2,   0:00:39.490857,playing t=9.77, lr=0.002, batch=59930
Game ,0195000, mean_rew of 4775 finished g. ,8.088, of random ,-2.7016, corr_moves[max: 9] ,8.742, mean_rew ,-37.3,   0:02:13.702734,playing t=27.28, lr=0.002, batch=134668
Game ,0350000, mean_rew of 4809 finished g. ,7.486, of random ,-2.4953, corr_moves[max: 9] ,8.772, mean_rew ,-31.0,   0:03:59.864452,playing t=31.58, lr=0.002, batch=154665
Game ,0525000, mean_rew of 4812 finished g. ,7.5998, of random ,-2.5028, corr_moves[max: 9] ,8.775, mean_rew ,-30.3,   0:05:57.542833,playing t=35.45, lr=0.002, batch=174721
Game ,0720000, mean_rew of 4860 finished g. ,8.4187, of random ,-2.8097, corr_moves[max: 9] ,8.835, mean_rew ,-19.8,   0:08:07.383978,playing t=40.32, lr=0.002, batch=194612
Game ,0935000, mean_rew of 4880 finished g. ,9.5738, of random ,-3.1653, corr_moves[max: 9] ,8.859, mean_rew ,-14.7,   0:10:29.009330,playing t=44.29, lr=0.002, batch=214709
Game ,1170000, mean_rew of 4909 finished g. ,9.614, of random ,-3.1856, corr_moves[max: 9] ,8.891, mean_rew ,-8.76,   0:13:01.010425,playing t=47.81, lr=0.002, batch=234607
Game ,1425000, mean_rew of 4917 finished g. ,9.3492, of random ,-3.0906, corr_moves[max: 9] , 8.9, mean_rew ,-7.41,   0:15:46.143919,playing t=52.51, lr=0.002, batch=254647
Game ,1700000, mean_rew of 4926 finished g. ,10.421, of random ,-3.4697, corr_moves[max: 9] ,8.902, mean_rew ,-4.53,   0:18:42.801907,playing t=56.4, lr=0.002, batch=274647
Game ,1995000, mean_rew of 4935 finished g. ,10.661, of random ,-3.536, corr_moves[max: 9] ,8.919, mean_rew ,-2.48,   0:21:52.719745,playing t=61.01, lr=0.002, batch=294620
Game ,2310000, mean_rew of 4924 finished g. ,11.621, of random ,-3.8532, corr_moves[max: 9] ,8.911, mean_rew ,-3.76,   0:25:13.598390,playing t=65.09, lr=0.002, batch=314776
Game ,2645000, mean_rew of 4950 finished g. ,13.815, of random ,-4.5815, corr_moves[max: 9] ,8.941, mean_rew ,3.68,   0:28:42.594707,playing t=69.27, lr=0.002, batch=334670
Game ,3000000, mean_rew of 4953 finished g. ,13.904, of random ,-4.6399, corr_moves[max: 9] ,8.946, mean_rew ,4.37,   0:32:29.902300,playing t=76.17, lr=0.002, batch=354605
Game ,3375000, mean_rew of 4947 finished g. ,14.445, of random ,-4.7888, corr_moves[max: 9] ,8.935, mean_rew ,3.69,   0:36:31.337213,playing t=81.67, lr=0.002, batch=374619
Game ,3770000, mean_rew of 4946 finished g. ,15.098, of random ,-4.9774, corr_moves[max: 9] ,8.942, mean_rew ,4.13,   0:40:46.464432,playing t=86.07, lr=0.002, batch=394683
Game ,4185000, mean_rew of 4942 finished g. ,16.762, of random ,-5.5841, corr_moves[max: 9] ,8.934, mean_rew ,4.97,   0:45:16.091412,playing t=91.24, lr=0.002, batch=414635
Game ,4620000, mean_rew of 4947 finished g. ,16.608, of random ,-5.5205, corr_moves[max: 9] ,8.936, mean_rew ,5.83,   0:49:59.746572,playing t=96.85, lr=0.002, batch=434619
Game ,5075000, mean_rew of 4965 finished g. ,17.443, of random ,-5.8164, corr_moves[max: 9] ,8.957, mean_rew ,10.3,   0:54:57.496103,playing t=101.34, lr=0.002, batch=454628
Game ,5550000, mean_rew of 4963 finished g. ,18.528, of random ,-6.1653, corr_moves[max: 9] ,8.957, mean_rew ,11.0,   1:00:07.402150,playing t=107.12, lr=0.002, batch=474675
Game ,6045000, mean_rew of 4968 finished g. ,18.842, of random ,-6.2859, corr_moves[max: 9] ,8.964, mean_rew ,12.3,   1:05:31.914732,playing t=111.9, lr=0.002, batch=494706
Game ,6560000, mean_rew of 4963 finished g. ,19.263, of random ,-6.4182, corr_moves[max: 9] ,8.958, mean_rew ,11.7,   1:11:10.168882,playing t=115.56, lr=0.002, batch=514694
Game ,7095000, mean_rew of 4968 finished g. ,19.276, of random ,-6.4, corr_moves[max: 9] ,8.963, mean_rew ,12.8,   1:17:01.295216,playing t=120.27, lr=0.002, batch=534627
Game ,7650000, mean_rew of 4971 finished g. ,20.083, of random ,-6.7113, corr_moves[max: 9] ,8.966, mean_rew ,14.2,   1:23:04.315405,playing t=125.98, lr=0.002, batch=554508
Game ,8225000, mean_rew of 4969 finished g. ,20.111, of random ,-6.6626, corr_moves[max: 9] ,8.965, mean_rew ,13.8,   1:29:19.384204,playing t=130.45, lr=0.002, batch=574671
Game ,8820000, mean_rew of 4983 finished g. ,20.287, of random ,-6.7536, corr_moves[max: 9] ,8.978, mean_rew ,16.8,   1:35:46.049295,playing t=135.24, lr=0.002, batch=594593
Game ,9435000, mean_rew of 4977 finished g. ,22.003, of random ,-7.2962, corr_moves[max: 9] ,8.973, mean_rew ,17.3,   1:42:25.876503,playing t=140.1, lr=0.002, batch=614688
Game ,10070000, mean_rew of 4982 finished g. ,21.965, of random ,-7.2829, corr_moves[max: 9] ,8.977, mean_rew ,18.3,   1:49:19.086722,playing t=145.21, lr=0.002, batch=634563
Game ,10725000, mean_rew of 4979 finished g. ,21.402, of random ,-7.1286, corr_moves[max: 9] ,8.976, mean_rew ,17.1,   1:56:23.202662,playing t=147.62, lr=0.002, batch=654607
Game ,11400000, mean_rew of 4976 finished g. ,20.954, of random ,-6.9839, corr_moves[max: 9] ,8.969, mean_rew ,16.1,   2:03:39.970261,playing t=152.46, lr=0.002, batch=674632
Game ,12095000, mean_rew of 4990 finished g. ,21.201, of random ,-7.0324, corr_moves[max: 9] ,8.99, mean_rew ,19.2,   2:11:07.522257,playing t=157.48, lr=0.002, batch=694682
Game ,12810000, mean_rew of 4974 finished g. ,20.752, of random ,-6.93, corr_moves[max: 9] ,8.97, mean_rew ,15.4,   2:18:47.267570,playing t=161.57, lr=0.002, batch=714640
Game ,13545000, mean_rew of 4980 finished g. ,22.241, of random ,-7.3942, corr_moves[max: 9] ,8.978, mean_rew ,18.2,   2:26:37.751850,playing t=165.49, lr=0.002, batch=734578
Game ,14300000, mean_rew of 4978 finished g. ,21.956, of random ,-7.2984, corr_moves[max: 9] ,8.975, mean_rew ,17.5,   2:34:41.164766,playing t=169.71, lr=0.002, batch=754649
Game ,15075000, mean_rew of 4980 finished g. ,21.995, of random ,-7.2995, corr_moves[max: 9] ,8.982, mean_rew ,17.9,   2:42:54.582330,playing t=173.97, lr=0.002, batch=774554
